ano_eleicao,nr_turno,nr_turno_str,codigo_uf,sg_uf,nm_uf,regiao,cand_partido_1,cand_partido_2,candidato_1,candidato_2,partido_1,partido_2,situacao_1,situacao_2,votos_1,votos_2,votos_total,perc_1,perc_2,diferenca_pp,diferenca_absoluta,qtd_elei_2022,perc_elei_2022,perc_elei_2022_opacity,qtd_elei_2022_str,perc_elei_2022_str
2006,1,1º turno,53,DF,Distrito Federal,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,499.407 votos,594.521 votos,1.347.805 votos,"37,05","44,11","-7,06 p.p.",-95.114 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2006,2,2º turno,53,DF,Distrito Federal,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,765.008 votos,578.137 votos,1.343.145 votos,"56,96","43,04","+13,92 p.p.", +186.871 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2010,1,1º turno,53,DF,Distrito Federal,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,462.441 votos,354.070 votos,1.457.059 votos,"31,74","24,3","+7,44 p.p.", +108.371 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2010,2,2º turno,53,DF,Distrito Federal,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,708.674 votos,633.299 votos,1.341.973 votos,"52,81","47,19","+5,62 p.p.", +75.375 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2014,1,1º turno,53,DF,Distrito Federal,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,363.861 votos,570.494 votos,1.579.692 votos,"23,03","36,11","-13,08 p.p.",-206.633 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2014,2,2º turno,53,DF,Distrito Federal,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,582.354 votos,946.171 votos,1.528.525 votos,"38,1","61,9","-23,8 p.p.",-363.817 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2018,2,2º turno,53,DF,Distrito Federal,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,463.340 votos,1.080.411 votos,1.543.751 votos,"30,01","69,99","-39,98 p.p.",-617.071 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2018,1,1º turno,53,DF,Distrito Federal,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,190.508 votos,936.494 votos,1.604.517 votos,"11,87","58,37","-46,5 p.p.",-745.986 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2002,2,2º turno,32,ES,Espírito Santo,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,944.172 votos,646.494 votos,1.590.666 votos,"59,36","40,64","+18,72 p.p.", +297.678 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2002,1,1º turno,32,ES,Espírito Santo,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,717.646 votos,334.697 votos,1.611.996 votos,"44,52","20,76","+23,76 p.p.", +382.949 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2006,1,1º turno,32,ES,Espírito Santo,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,953.609 votos,668.792 votos,1.800.394 votos,"52,97","37,15","+15,82 p.p.", +284.817 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2006,2,2º turno,32,ES,Espírito Santo,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.190.459 votos,625.852 votos,1.816.311 votos,"65,54","34,46","+31,08 p.p.", +564.607 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2010,2,2º turno,32,ES,Espírito Santo,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,924.046 votos,955.423 votos,1.879.469 votos,"49,17","50,83","-1,66 p.p.",-31.377 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2010,1,1º turno,32,ES,Espírito Santo,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,717.417 votos,682.590 votos,1.925.891 votos,"37,25","35,44","+1,81 p.p.", +34.827 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2014,2,2º turno,32,ES,Espírito Santo,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,912.391 votos,1.065.485 votos,1.977.876 votos,"46,13","53,87","-7,74 p.p.",-153.094 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2014,1,1º turno,32,ES,Espírito Santo,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,653.839 votos,694.085 votos,1.975.322 votos,"33,1","35,14","-2,04 p.p.",-40.246 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2018,2,2º turno,32,ES,Espírito Santo,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,747.768 votos,1.276.611 votos,2.024.379 votos,"36,94","63,06","-26,12 p.p.",-528.843 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2018,1,1º turno,32,ES,Espírito Santo,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,495.868 votos,1.122.131 votos,2.049.148 votos,"24,2","54,76","-30,56 p.p.",-626.263 votos,2.921.506,"1,87%",1.87,A UF tem 2.921.506 eleitores em 2022,"Isso equivale a 1,87% dos eleitores do Brasil"
2002,2,2º turno,52,GO,Goiás,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,1.424.236 votos,1.071.070 votos,2.495.306 votos,"57,08","42,92","+14,16 p.p.", +353.166 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2002,1,1º turno,52,GO,Goiás,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,1.069.398 votos,709.025 votos,2.540.283 votos,"42,1","27,91","+14,19 p.p.", +360.373 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2006,1,1º turno,52,GO,Goiás,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,1.143.122 votos,1.465.628 votos,2.846.061 votos,"40,17","51,5","-11,33 p.p.",-322.506 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2006,2,2º turno,52,GO,Goiás,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.485.280 votos,1.226.011 votos,2.711.291 votos,"54,78","45,22","+9,56 p.p.", +259.269 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2010,2,2º turno,52,GO,Goiás,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.446.178 votos,1.490.368 votos,2.936.546 votos,"49,25","50,75","-1,5 p.p.",-44.190 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2010,1,1º turno,52,GO,Goiás,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.301.985 votos,1.217.203 votos,3.082.793 votos,"42,23","39,48","+2,75 p.p.", +84.782 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2014,1,1º turno,52,GO,Goiás,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,1.035.911 votos,1.341.320 votos,3.228.160 votos,"32,09","41,55","-9,46 p.p.",-305.409 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2014,2,2º turno,52,GO,Goiás,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,1.365.964 votos,1.819.139 votos,3.185.103 votos,"42,89","57,11","-14,22 p.p.",-453.175 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2018,2,2º turno,52,GO,Goiás,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,1.118.060 votos,2.124.739 votos,3.242.799 votos,"34,48","65,52","-31,04 p.p.",-1.006.679 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2018,1,1º turno,52,GO,Goiás,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,713.535 votos,1.868.686 votos,3.264.789 votos,"21,86","57,24","-35,38 p.p.",-1.155.151 votos,4.870.354,"3,11%",3.11,A UF tem 4.870.354 eleitores em 2022,"Isso equivale a 3,11% dos eleitores do Brasil"
2002,2,2º turno,21,MA,Maranhão,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,1.229.559 votos,872.880 votos,2.102.439 votos,"58,48","41,52","+16,96 p.p.", +356.679 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2002,1,1º turno,21,MA,Maranhão,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,843.132 votos,248.621 votos,2.062.392 votos,"40,88","12,05","+28,83 p.p.", +594.511 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2006,1,1º turno,21,MA,Maranhão,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,2.128.103 votos,530.164 votos,2.818.598 votos,"75,5","18,81","+56,69 p.p.", +1.597.939 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2006,2,2º turno,21,MA,Maranhão,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,2.280.520 votos,414.108 votos,2.694.628 votos,"84,63","15,37","+69,26 p.p.", +1.866.412 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2010,1,1º turno,21,MA,Maranhão,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.079.650 votos,444.145 votos,2.943.779 votos,"70,65","15,09","+55,56 p.p.", +1.635.505 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2010,2,2º turno,21,MA,Maranhão,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.294.146 votos,606.449 votos,2.900.595 votos,"79,09","20,91","+58,18 p.p.", +1.687.697 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2014,2,2º turno,21,MA,Maranhão,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,2.475.985 votos,667.823 votos,3.143.808 votos,"78,76","21,24","+57,52 p.p.", +1.808.162 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2014,1,1º turno,21,MA,Maranhão,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,2.187.864 votos,365.655 votos,3.145.547 votos,"69,55","11,62","+57,93 p.p.", +1.822.209 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2018,1,1º turno,21,MA,Maranhão,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,2.062.638 votos,817.531 votos,3.366.947 votos,"61,26","24,28","+36,98 p.p.", +1.245.107 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2018,2,2º turno,21,MA,Maranhão,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,2.428.913 votos,886.565 votos,3.315.478 votos,"73,26","26,74","+46,52 p.p.", +1.542.348 votos,5.042.999,"3,22%",3.22,A UF tem 5.042.999 eleitores em 2022,"Isso equivale a 3,22% dos eleitores do Brasil"
2002,1,1º turno,31,MG,Minas Gerais,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,4.990.085 votos,2.151.597 votos,9.413.131 votos,"53,01","22,86","+30,15 p.p.", +2.838.488 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2002,2,2º turno,31,MG,Minas Gerais,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,6.384.690 votos,3.223.960 votos,9.608.650 votos,"66,45","33,55","+32,9 p.p.", +3.160.730 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2006,1,1º turno,31,MG,Minas Gerais,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,5.192.439 votos,4.151.507 votos,10.220.573 votos,"50,8","40,62","+10,18 p.p.", +1.040.932 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2006,2,2º turno,31,MG,Minas Gerais,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,6.808.417 votos,3.635.228 votos,10.443.645 votos,"65,19","34,81","+30,38 p.p.", +3.173.189 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2010,1,1º turno,31,MG,Minas Gerais,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,5.067.399 votos,3.317.872 votos,10.785.588 votos,"46,98","30,76","+16,22 p.p.", +1.749.527 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2010,2,2º turno,31,MG,Minas Gerais,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,6.220.125 votos,4.422.294 votos,10.642.419 votos,"58,45","41,55","+16,9 p.p.", +1.797.831 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2014,1,1º turno,31,MG,Minas Gerais,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,4.830.867 votos,4.417.876 votos,11.112.954 votos,"43,47","39,75","+3,72 p.p.", +412.991 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2014,2,2º turno,31,MG,Minas Gerais,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,5.981.162 votos,5.432.465 votos,11.413.627 votos,"52,4","47,6","+4,8 p.p.", +548.697 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2018,2,2º turno,31,MG,Minas Gerais,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,4.382.952 votos,6.100.107 votos,10.483.059 votos,"41,81","58,19","-16,38 p.p.",-1.717.155 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2018,1,1º turno,31,MG,Minas Gerais,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,3.037.957 votos,5.308.047 votos,10.987.714 votos,"27,65","48,31","-20,66 p.p.",-2.270.090 votos,16.290.870,"10,41%",10.41,A UF tem 16.290.870 eleitores em 2022,"Isso equivale a 10,41% dos eleitores do Brasil"
2002,2,2º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,593.939 votos,483.196 votos,1.077.135 votos,"55,14","44,86","+10,28 p.p.", +110.743 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2002,1,1º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,446.438 votos,308.905 votos,1.076.108 votos,"41,49","28,71","+12,78 p.p.", +137.533 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2006,2,2º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,535.966 votos,655.491 votos,1.191.457 votos,"44,98","55,02","-10,04 p.p.",-119.525 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2006,1,1º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,439.965 votos,687.583 votos,1.222.462 votos,"35,99","56,25","-20,26 p.p.",-247.618 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2010,2,2º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,555.283 votos,682.305 votos,1.237.588 votos,"44,87","55,13","-10,26 p.p.",-127.022 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2010,1,1º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,518.877 votos,551.296 votos,1.301.849 votos,"39,86","42,35","-2,49 p.p.",-32.419 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2014,2,2º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,590.965 votos,762.797 votos,1.353.762 votos,"43,65","56,35","-12,7 p.p.",-171.832 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2014,1,1º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,507.063 votos,558.826 votos,1.352.208 votos,"37,5","41,33","-3,83 p.p.",-51.763 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2018,2,2º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,465.025 votos,872.049 votos,1.337.074 votos,"34,78","65,22","-30,44 p.p.",-407.024 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2018,1,1º turno,50,MS,Mato Grosso do Sul,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,333.407 votos,769.116 votos,1.396.945 votos,"23,87","55,06","-31,19 p.p.",-435.709 votos,1.996.510,"1,28%",1.28,A UF tem 1.996.510 eleitores em 2022,"Isso equivale a 1,28% dos eleitores do Brasil"
2002,2,2º turno,51,MT,Mato Grosso,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,649.100 votos,542.695 votos,1.191.795 votos,"54,46","45,54","+8,92 p.p.", +106.405 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2002,1,1º turno,51,MT,Mato Grosso,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,509.151 votos,372.068 votos,1.252.744 votos,"40,64","29,7","+10,94 p.p.", +137.083 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2006,1,1º turno,51,MT,Mato Grosso,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,557.244 votos,790.320 votos,1.441.636 votos,"38,65","54,82","-16,17 p.p.",-233.076 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2006,2,2º turno,51,MT,Mato Grosso,Região Centro-Oeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,711.177 votos,719.984 votos,1.431.161 votos,"49,69","50,31","-0,62 p.p.",-8.807 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2010,1,1º turno,51,MT,Mato Grosso,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,659.771 votos,678.614 votos,1.536.593 votos,"42,94","44,16","-1,22 p.p.",-18.843 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2010,2,2º turno,51,MT,Mato Grosso,Região Centro-Oeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,729.747 votos,762.905 votos,1.492.652 votos,"48,89","51,11","-2,22 p.p.",-33.158 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2014,2,2º turno,51,MT,Mato Grosso,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,717.412 votos,865.610 votos,1.583.022 votos,"45,32","54,68","-9,36 p.p.",-148.198 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2014,1,1º turno,51,MT,Mato Grosso,Região Centro-Oeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,616.411 votos,693.755 votos,1.559.619 votos,"39,52","44,48","-4,96 p.p.",-77.344 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2018,2,2º turno,51,MT,Mato Grosso,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,549.001 votos,1.085.824 votos,1.634.825 votos,"33,58","66,42","-32,84 p.p.",-536.823 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
2018,1,1º turno,51,MT,Mato Grosso,Região Centro-Oeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,404.604 votos,981.119 votos,1.634.136 votos,"24,76","60,04","-35,28 p.p.",-576.515 votos,2.469.414,"1,58%",1.58,A UF tem 2.469.414 eleitores em 2022,"Isso equivale a 1,58% dos eleitores do Brasil"
